Company,TypeName,Ram,Weight,Touchscreen,IPS,PPI,cpu_name,HDD,SSD,gpu_brand,OpSystem
Dell,Ultrabook,16,1.2,1,0,276.053530085501,Intel Core i7,0,512,Intel,Windows
Apple,Ultrabook,8,1.35,0,0,127.67794013309688,Intel Core i5,0,0,Intel,Mac
Lenovo,Notebook,4,1.44,0,0,111.93520355955211,Other Intel Processor,0,0,Intel,Windows
Acer,Notebook,4,2.1,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Others
Dell,Notebook,8,2.8,0,1,127.33567457123111,Intel Core i5,1000,128,AMD,Windows
HP,Notebook,4,1.86,0,0,100.45466986113651,Intel Core i5,1000,0,Intel,Windows
HP,Notebook,8,2.1,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,4,2.0,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,Others
Dell,Gaming,16,2.65,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,8,2.3,0,0,100.45466986113651,Intel Core i5,1000,0,Nvidia,Others
Acer,Notebook,4,2.2,0,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,12,2.77,1,0,127.33567457123111,Intel Core i5,1000,0,Nvidia,Windows
Apple,Ultrabook,8,1.37,0,1,226.98300468106115,Intel Core i5,0,256,Intel,Mac
Lenovo,Notebook,4,2.2,0,0,100.45466986113651,Intel Core i3,0,128,Intel,Others
Asus,Gaming,8,3.2,0,0,127.33567457123111,AMD Processor,1000,256,AMD,Windows
Dell,Notebook,4,2.3,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Asus,Notebook,4,2.8,0,0,90.58340172449303,Other Intel Processor,1000,0,Nvidia,Windows
Lenovo,2 in 1 Convertible,4,0.69,1,1,224.17380907857276,Other Intel Processor,0,0,Intel,Others
Acer,Notebook,8,2.2,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,4,1.86,0,0,141.21199808219862,AMD Processor,0,256,AMD,Windows
HP,Notebook,8,1.49,0,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Acer,Notebook,4,2.4,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
Dell,Notebook,8,2.13,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,1.91,0,0,141.21199808219862,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,4,2.0,0,0,100.45466986113651,Intel Core i5,0,256,Intel,Windows
MSI,Gaming,16,2.43,0,0,127.33567457123111,Intel Core i7,2000,256,Nvidia,Windows
Asus,Notebook,4,2.0,0,0,141.21199808219862,Intel Core i3,0,256,Intel,Others
Dell,Notebook,16,2.8,0,0,127.33567457123111,Intel Core i7,2000,256,AMD,Windows
Dell,Ultrabook,8,1.7,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,8,1.7,0,1,157.3505121487356,Intel Core i3,0,256,Intel,Others
Asus,Notebook,8,1.4,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.86,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Asus,Ultrabook,16,1.8,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows
HP,Notebook,4,1.86,0,0,100.45466986113651,Intel Core i3,500,0,AMD,Windows
HP,Notebook,4,1.44,0,0,111.93520355955211,Other Intel Processor,0,32,Intel,Windows
Lenovo,Notebook,4,1.9,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,12,3.0,0,0,127.33567457123111,Intel Core i7,1000,0,Nvidia,Others
Microsoft,Ultrabook,4,1.252,1,0,200.84255993695703,Intel Core i5,0,128,Intel,Windows
Dell,Ultrabook,8,1.4,0,1,165.6321180513006,Intel Core i7,0,256,AMD,Windows
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
MSI,Gaming,8,2.7,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia,Windows
Acer,Notebook,8,2.1,0,0,111.93520355955211,Intel Core i3,1000,0,Intel,Windows
Asus,Gaming,8,2.2,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,2000,0,Intel,Others
Dell,Notebook,8,2.02,0,0,141.21199808219862,Intel Core i7,1000,128,Intel,Windows
Acer,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia,Windows
HP,Notebook,8,2.5,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia,Windows
Dell,Ultrabook,8,1.88,0,1,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Apple,Ultrabook,8,0.92,0,1,226.41554716935852,Intel Core i5,0,512,Intel,Mac
HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Lenovo,Notebook,4,2.2,0,0,141.21199808219862,AMD Processor,0,128,AMD,Windows
Acer,Notebook,4,2.1,0,0,100.45466986113651,AMD Processor,1000,0,AMD,Windows
Dell,Gaming,16,2.65,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
HP,Ultrabook,8,1.83,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,8,1.96,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Asus,Gaming,16,2.2,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
Dell,Ultrabook,8,1.21,0,1,165.6321180513006,Intel Core i7,0,256,Intel,Windows
Asus,Gaming,8,2.45,0,0,141.21199808219862,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
HP,Notebook,16,1.49,0,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Dell,Gaming,8,2.65,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Ultrabook,8,1.25,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.5,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,Others
Dell,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i3,0,256,AMD,Others
Asus,Notebook,6,2.0,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia,Windows
HP,Gaming,12,2.62,0,1,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
HP,Notebook,8,1.91,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Windows
HP,Notebook,4,2.1,0,0,141.21199808219862,AMD Processor,500,0,AMD,Windows
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,1000,0,AMD,Others
HP,Ultrabook,8,1.38,0,1,165.6321180513006,Intel Core i7,0,256,Nvidia,Windows
Microsoft,Ultrabook,8,1.252,1,0,200.84255993695703,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,1.58,0,1,157.3505121487356,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,4,1.85,0,0,141.21199808219862,Intel Core i3,1000,0,Intel,Windows
Asus,Ultrabook,8,1.3,0,1,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows
MSI,Gaming,16,2.2,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Lenovo,Notebook,8,1.58,0,1,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Asus,Ultrabook,16,1.5,0,0,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Dell,Ultrabook,8,1.23,1,0,276.053530085501,Intel Core i7,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,8,1.37,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,Notebook,4,1.63,0,1,111.93520355955211,Intel Core i5,500,0,Intel,Windows
Dell,Ultrabook,8,1.21,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,2 in 1 Convertible,8,1.26,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,2.16,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,4,2.0,0,0,127.33567457123111,Intel Core i3,1000,0,Nvidia,Windows
Asus,Notebook,8,1.7,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,6,2.1,1,1,141.21199808219862,Intel Core i3,1000,0,Intel,Windows
MSI,Gaming,16,1.8,0,0,141.21199808219862,Intel Core i7,2000,256,Nvidia,Windows
Lenovo,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Others
HP,Notebook,16,2.5,0,0,127.33567457123111,Intel Core i7,0,512,Nvidia,Windows
Acer,Notebook,4,2.1,0,0,100.45466986113651,AMD Processor,0,256,AMD,Windows
HP,Notebook,4,1.86,0,0,100.45466986113651,Other Intel Processor,500,0,Intel,Others
HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i5,1000,0,Intel,Windows
Asus,Notebook,4,1.65,0,0,111.93520355955211,AMD Processor,0,64,AMD,Windows
Dell,Notebook,16,2.8,0,0,127.33567457123111,Intel Core i7,2000,256,AMD,Windows
HP,Notebook,8,2.5,0,0,127.33567457123111,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.36,0,0,100.45466986113651,Intel Core i5,1000,0,AMD,Windows
Dell,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i3,1000,0,AMD,Windows
Acer,Ultrabook,8,1.6,0,1,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Acer,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i3,0,256,Nvidia,Windows
HP,Notebook,8,2.05,0,0,100.45466986113651,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,4,1.9,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel,Others
Asus,Gaming,8,3.0,0,0,127.33567457123111,Intel Core i5,1000,128,Nvidia,Windows
Lenovo,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i5,1000,0,Nvidia,Others
HP,Notebook,4,1.32,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,4,3.0,0,1,127.33567457123111,Intel Core i3,1000,0,Nvidia,Windows
Lenovo,Notebook,8,1.75,0,1,157.3505121487356,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,8,2.4,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Others
Toshiba,Notebook,4,2.1,0,0,100.45466986113651,Intel Core i5,500,0,Intel,Windows
HP,Notebook,4,1.86,0,0,100.45466986113651,AMD Processor,0,256,AMD,Windows
Asus,Ultrabook,8,1.25,0,0,157.3505121487356,Intel Core i7,0,256,Intel,Windows
HP,Ultrabook,8,0.97,1,1,352.4651472131677,Other Intel Processor,0,512,Intel,Windows
Asus,Notebook,4,2.0,0,0,141.21199808219862,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,16,2.9,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,4,2.1,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
Dell,Gaming,16,2.56,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows
Dell,Gaming,8,2.62,0,0,141.21199808219862,Intel Core i7,0,0,Nvidia,Windows
Lenovo,Notebook,4,1.9,0,0,100.45466986113651,Intel Core i5,0,128,Intel,Windows
MSI,Gaming,16,2.8,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
HP,Ultrabook,4,1.48,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,1.91,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Lenovo,2 in 1 Convertible,4,1.74,1,1,157.3505121487356,Intel Core i3,0,256,Intel,Windows
Asus,2 in 1 Convertible,8,1.1,1,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,8,1.56,1,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
Toshiba,Notebook,4,2.1,0,0,100.45466986113651,Intel Core i3,500,0,Intel,Windows
Asus,Notebook,4,2.03,0,0,100.45466986113651,AMD Processor,1000,0,AMD,Windows
Acer,Notebook,4,3.0,0,1,127.33567457123111,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,2.13,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Windows
Lenovo,Gaming,16,2.5,0,1,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,4,2.1,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel,Windows
MSI,Gaming,16,2.4,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,4,2.1,0,0,100.45466986113651,Other Intel Processor,1000,0,Intel,Windows
Dell,Gaming,8,2.56,0,0,141.21199808219862,Intel Core i7,1000,128,Nvidia,Windows
Acer,Notebook,8,3.0,0,1,127.33567457123111,Intel Core i5,0,256,Nvidia,Windows
HP,Notebook,4,1.49,0,1,165.6321180513006,Intel Core i5,500,0,Intel,Windows
Huawei,Ultrabook,8,1.05,0,1,199.69207064108247,Intel Core i5,0,256,Intel,Windows
HP,Notebook,6,2.71,0,1,127.33567457123111,Intel Core i5,2000,0,AMD,Windows
Lenovo,Notebook,4,2.2,0,0,100.45466986113651,AMD Processor,500,0,AMD,Others
Toshiba,Notebook,4,2.0,0,0,100.45466986113651,Intel Core i3,500,0,Intel,Windows
HP,Notebook,8,2.5,0,0,127.33567457123111,Intel Core i5,0,256,Nvidia,Windows
Dell,Notebook,8,2.3,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
Acer,Notebook,4,2.1,0,0,100.45466986113651,Intel Core i3,0,128,Intel,Windows
MSI,Gaming,32,4.4,0,0,119.7232157653423,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,8,1.9,0,0,141.21199808219862,Intel Core i5,1000,128,AMD,Windows
HP,2 in 1 Convertible,8,1.29,1,1,331.2642361026012,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,2.02,0,0,141.21199808219862,Intel Core i7,2000,256,AMD,Others
Dell,Ultrabook,8,1.23,0,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Lenovo,2 in 1 Convertible,16,1.4,1,1,316.96506044349616,Intel Core i7,0,512,Intel,Windows
Toshiba,Notebook,8,2.0,0,0,100.45466986113651,Intel Core i5,0,128,Intel,Windows
Xiaomi,Notebook,8,1.95,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Others
Dell,Notebook,16,2.77,1,0,127.33567457123111,Intel Core i7,0,512,Nvidia,Windows
Dell,Notebook,16,2.06,1,0,282.42399616439724,Intel Core i7,0,512,Nvidia,Windows
Lenovo,Gaming,8,2.4,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Others
Acer,Ultrabook,8,1.12,0,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,8,2.8,0,0,127.33567457123111,Intel Core i7,1000,128,AMD,Windows
Lenovo,2 in 1 Convertible,16,1.42,1,0,209.8006828649808,Intel Core i7,0,1000,Intel,Windows
Vero,Notebook,4,1.3,0,1,157.3505121487356,Other Intel Processor,0,0,Intel,Windows
Xiaomi,Ultrabook,8,1.3,0,1,165.6321180513006,Intel Core i5,0,256,Nvidia,Others
Lenovo,Notebook,8,2.8,0,0,106.11306214269258,Intel Core i5,0,256,Nvidia,Others
Dell,2 in 1 Convertible,8,1.62,1,1,165.6321180513006,Intel Core i7,1000,0,Intel,Windows
HP,Notebook,8,2.5,0,1,127.33567457123111,Intel Core i5,1000,0,Nvidia,Windows
Razer,Gaming,32,3.49,1,0,254.67134914246222,Intel Core i7,0,1000,Nvidia,Windows
HP,Notebook,8,1.49,0,0,165.6321180513006,Intel Core i5,0,512,Intel,Windows
HP,Gaming,16,3.35,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,8,2.5,0,0,127.33567457123111,Intel Core i7,0,256,Nvidia,Windows
Dell,Gaming,16,2.65,0,1,282.42399616439724,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,Notebook,4,2.1,0,0,100.45466986113651,Intel Core i5,0,128,Intel,Windows
Acer,Notebook,8,2.23,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Gaming,16,3.2,0,1,141.21199808219862,Intel Core i7,1000,512,Nvidia,Windows
Dell,Workstation,16,2.8,0,0,282.42399616439724,Other Intel Processor,1000,256,Nvidia,Windows
Lenovo,Gaming,16,2.4,0,0,141.21199808219862,Intel Core i7,0,512,Nvidia,Others
Dell,Notebook,6,2.3,1,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
Dell,Ultrabook,8,1.21,1,1,331.2642361026012,Intel Core i7,0,256,Intel,Windows
Dell,Ultrabook,8,1.2,0,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,8,2.2,0,0,100.45466986113651,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,8,2.4,0,0,141.21199808219862,Intel Core i7,1000,0,Nvidia,Others
Asus,Gaming,16,2.9,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
HP,Notebook,4,2.1,0,0,141.21199808219862,Intel Core i3,500,0,Intel,Others
Lenovo,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,0,256,Intel,Others
Huawei,Ultrabook,8,1.05,0,1,199.69207064108247,Intel Core i7,0,512,Intel,Windows
Dell,Ultrabook,8,1.4,0,1,165.6321180513006,Intel Core i7,0,256,AMD,Windows
Lenovo,Notebook,8,2.8,0,0,106.11306214269258,Intel Core i5,1000,0,Nvidia,Others
HP,Notebook,8,1.63,0,0,157.3505121487356,Intel Core i7,0,256,Nvidia,Windows
Dell,Ultrabook,8,1.6,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,16,1.62,1,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i5,0,256,AMD,Others
Lenovo,2 in 1 Convertible,8,1.74,0,1,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Toshiba,Ultrabook,8,1.2,0,0,165.6321180513006,Intel Core i7,0,256,Intel,Windows
HP,Notebook,8,2.1,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows
Dell,Gaming,16,4.42,0,1,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
Acer,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows
Dell,Notebook,16,2.3,1,0,141.21199808219862,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,8,2.0,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,8,2.69,0,0,127.33567457123111,Intel Core i5,500,256,Nvidia,Windows
HP,Notebook,8,1.9,0,0,141.21199808219862,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,4,2.37,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Windows
HP,Notebook,4,2.1,0,0,100.45466986113651,AMD Processor,500,0,AMD,Windows
Lenovo,Gaming,16,3.2,0,1,141.21199808219862,Intel Core i7,1000,256,Nvidia,Windows
Dell,Notebook,8,1.6,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.6,1,1,165.6321180513006,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,2.36,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Others
Acer,Notebook,4,2.1,0,0,100.45466986113651,Intel Core i3,1000,0,Intel,Others
Asus,Notebook,4,2.2,0,0,141.21199808219862,AMD Processor,1000,128,AMD,Windows
Asus,Gaming,32,4.7,0,0,127.33567457123111,Intel Core i7,1000,512,Nvidia,Windows
Acer,Gaming,8,2.5,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,8,2.2,0,0,100.45466986113651,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,8,2.1,0,0,127.33567457123111,Intel Core i7,1000,128,Nvidia,Windows
Asus,Notebook,8,2.69,0,0,127.33567457123111,Intel Core i7,1000,128,Nvidia,Others
Dell,Gaming,8,2.56,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
Lenovo,2 in 1 Convertible,8,1.38,1,1,158.48253022174808,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,8,2.2,0,0,141.21199808219862,Intel Core i7,2000,128,AMD,Windows
HP,Notebook,8,2.04,1,0,100.45466986113651,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,16,3.6,0,0,127.33567457123111,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,4,1.49,0,1,165.6321180513006,Intel Core i5,500,0,Intel,Windows
Apple,Ultrabook,8,1.37,0,1,226.98300468106115,Intel Core i5,0,512,Intel,Mac
Dell,2 in 1 Convertible,8,2.08,1,1,141.21199808219862,Intel Core i7,1000,0,Intel,Windows
Asus,Gaming,16,4.3,0,0,127.33567457123111,Intel Core i7,1000,256,Nvidia,Windows
Asus,Notebook,4,1.68,0,0,100.45466986113651,AMD Processor,1000,0,AMD,Windows
Lenovo,2 in 1 Convertible,8,1.37,1,1,158.48253022174808,Intel Core i7,0,512,Intel,Windows
Acer,Notebook,4,3.0,0,1,127.33567457123111,Intel Core i3,0,256,Nvidia,Windows
Dell,Ultrabook,8,1.41,0,0,165.6321180513006,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.91,0,0,100.45466986113651,AMD Processor,0,128,AMD,Windows
HP,Notebook,16,2.9,0,1,127.33567457123111,Intel Core i7,1000,0,Nvidia,Windows
MSI,Gaming,16,4.14,0,0,127.33567457123111,Intel Core i7,1000,512,Nvidia,Windows
Lenovo,2 in 1 Convertible,8,2.0,1,1,141.21199808219862,Intel Core i7,0,512,Nvidia,Windows
Dell,Notebook,8,2.8,0,0,127.33567457123111,Intel Core i7,1000,128,AMD,Windows
Lenovo,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i3,0,256,Intel,Others
HP,Notebook,4,2.1,0,1,141.21199808219862,Intel Core i5,500,0,Intel,Windows
Dell,Notebook,4,2.18,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Windows
Dell,Notebook,8,2.24,0,0,141.21199808219862,Intel Core i5,1000,0,AMD,Windows
Dell,2 in 1 Convertible,8,2.67,1,0,141.21199808219862,Intel Core i5,0,256,Intel,Windows
Asus,2 in 1 Convertible,8,1.1,1,0,165.6321180513006,Intel Core i7,0,1024,Intel,Windows
Lenovo,Notebook,4,2.2,0,0,141.21199808219862,Intel Core i5,1000,0,Intel,Others
HP,Notebook,8,2.5,0,0,127.33567457123111,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Notebook,8,2.05,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows
Apple,Ultrabook,8,1.37,0,1,226.98300468106115,Intel Core i5,0,512,Intel,Mac
Asus,Gaming,16,3.2,0,0,127.33567457123111,AMD Processor,1000,256,AMD,Windows
Dell,Notebook,8,2.14,0,0,141.21199808219862,Intel Core i7,0,256,AMD,Others
Lenovo,2 in 1 Convertible,16,1.36,1,0,209.8006828649808,Intel Core i7,0,512,Intel,Windows
Toshiba,Notebook,8,2.2,0,0,100.45466986113651,Intel Core i7,500,0,Nvidia,Windows
Dell,Notebook,12,2.3,0,0,100.45466986113651,Intel Core i7,1000,0,Intel,Windows
Dell,Notebook,8,2.8,0,0,127.33567457123111,Intel Core i7,1000,128,AMD,Others
Acer,Notebook,8,2.2,0,1,141.21199808219862,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Notebook,4,2.8,0,0,106.11306214269258,Intel Core i3,1000,0,Intel,Windows
Lenovo,Notebook,8,2.8,0,0,127.33567457123111,Intel Core i7,2000,0,Nvidia,Others
Lenovo,Notebook,6,2.8,0,0,106.11306214269258,Intel Core i7,1000,128,Nvidia,Windows
Dell,Notebook,4,2.25,0,0,141.21199808219862,Intel Core i3,1000,0,AMD,Others
Lenovo,Gaming,8,2.5,0,1,141.21199808219862,Intel Core i5,0,256,Nvidia,Windows
